0	Anatomy::UBERON:0001225
1	Gene::9975
2	Gene::4926
3	Gene::9702
4	Compound::DB00474
5	Compound::DB00768
6	Gene::115
7	Gene::3784
8	Compound::DB00222
9	Compound::DB14646
10	Gene::4793
11	Gene::2548
12	Gene::874
13	Molecular Function::GO:0050661
14	Gene::5514
15	Gene::5501
16	Gene::126520
17	Biological Process::GO:0006468
18	Compound::DB09300
19	Compound::DB14719
20	Compound::DB06691
21	Compound::DB11477
22	Gene::29820
23	Gene::16992
24	Gene::9014
25	Pathway::PC7_6792
26	Compound::DB00264
27	Compound::DB00901
28	Gene::6430
29	Gene::6426
30	Compound::DB00270
31	Compound::DB13746
32	Disease::MESH:D000506
33	Gene::9989
34	Anatomy::UBERON:0001295
35	Gene::4050
36	Compound::DB00936
37	Compound::DB08972
38	Compound::DB00668
39	Compound::DB00932
40	Gene::6919
41	Gene::2054
42	Compound::DB01438
43	Compound::DB14527
44	Anatomy::UBERON:0000043
45	Gene::8085
46	Gene::7159
47	Gene::392
48	Gene::87769
49	Biological Process::GO:1901565
50	Anatomy::UBERON:0002185
51	Gene::3797
52	Anatomy::UBERON:0002369
53	Gene::5998
54	Gene::6234
55	Gene::2107
56	Compound::MESH:D002606
57	Disease::MESH:D062787
58	Gene::642658
59	Biological Process::GO:0030509
60	Gene::7476
61	Gene::7478
62	Anatomy::UBERON:0000002
63	Gene::6890
64	Compound::DB00582
65	Compound::DB11960
66	Gene::2099
67	Gene::4174
68	Anatomy::UBERON:0000955
69	Gene::7456
70	Compound::DB00692
71	Compound::DB14126
72	Gene::2044
73	Disease::MESH:D009369
74	Anatomy::UBERON:0001013
75	Gene::80024
76	Gene::4943
77	Gene::5862
78	Compound::DB00208
79	Compound::DB14506
80	Gene::7284
81	Gene::56945
82	Gene::25663
83	Gene::24494
84	Gene::7320
85	Gene::55905
86	Gene::2589
87	Gene::4282
88	Gene::18053
89	Gene::71690
90	Gene::2956
91	Gene::1486
92	Gene::5905
93	Compound::DB00318
94	Compound::DB13114
95	Gene::92
96	Biological Process::GO:0045646
97	Gene::5020
98	Biological Process::GO:0034694
99	Gene::9021
100	Gene::7297
101	Compound::DB00237
102	Compound::DB08981
103	Gene::10201
104	Gene::56474
105	Compound::MESH:C009068
106	Disease::MESH:D009422
107	Compound::DB00601
108	Side Effect::C2129214
109	Gene::1509
110	Gene::5641
111	Gene::22908
112	Pathway::PC7_6462
113	Compound::DB08059
114	Compound::DB09187
115	Anatomy::UBERON:0000997
116	Gene::8942
117	Gene::55486
118	Gene::10456
119	Compound::DB13495
120	Atc::S01E
121	Compound::DB08860
122	Compound::DB13173
123	Gene::4842
124	Gene::10000
125	Gene::5913
126	Biological Process::GO:0050804
127	Gene::3480
128	Gene::5580
129	Compound::DB00975
130	Side Effect::C0004245
131	Gene::375346
132	Biological Process::GO:1904427
133	Gene::10171
134	Gene::55272
135	Anatomy::UBERON:0000948
136	Gene::1780
137	Gene::26263
138	Gene::6500
139	Gene::4952
140	Gene::30011
141	Gene::90135
142	Gene::65264
143	Compound::DB06446
144	Compound::DB14060
145	Compound::DB01039
146	Side Effect::C0151766
147	Compound::DB00996
148	Compound::DB04682
149	Compound::DB00934
150	Compound::DB01124
151	Compound::DB00917
152	Atc::G
153	Compound::DB06674
154	Compound::DB11614
155	Compound::DB00960
156	Compound::DB06480
157	Compound::DB06016
158	Compound::DB09001
159	Gene::11004
160	Gene::378708
161	Anatomy::UBERON:0001675
162	Gene::36
163	Gene::54885
164	Gene::148268
165	Compound::DB00624
166	Side Effect::C0007785
167	Gene::9854
168	Gene::9217
169	Gene::60682
170	Biological Process::GO:1903706
171	Compound::DB01220
172	Compound::DB01656
173	Compound::DB04901
174	Compound::DB12213
175	Compound::DB00178
176	Compound::DB01088
177	Gene::3992
178	Biological Process::GO:0055114
179	Compound::DB00929
180	Side Effect::C0015967
181	Gene::5188
182	Gene::9787
183	Gene::55604
184	Biological Process::GO:0030335
185	Compound::DB00752
186	Compound::DB13738
187	Gene::337959
188	Gene::54749
189	Gene::5686
190	Pathway::PC7_7439
191	Compound::DB00865
192	Compound::DB13784
193	Anatomy::UBERON:0002048
194	Gene::11325
195	Gene::196883
196	Gene::5468
197	Gene::930
198	Gene::2214
199	Anatomy::UBERON:0002081
200	Gene::80148
201	Gene::8674
202	Gene::3575
203	Compound::DB01043
204	Compound::DB01431
205	Gene::3487
206	Gene::11098
207	Compound::DB06049
208	Compound::DB13017
209	Compound::DB01186
210	Gene::9584
211	Gene::65117
212	Anatomy::UBERON:0001016
213	Gene::29074
214	Compound::DB00416
215	Compound::DB13352
216	Gene::127687
217	Gene::167838
218	Gene::6233
219	Disease::MESH:D006528
220	Compound::DB00175
221	Compound::DB00818
222	Gene::84464
223	Cellular Component::GO:0000784
224	Gene::2232
225	Gene::8803
226	Gene::395
227	Gene::8227
228	Gene::9444
229	Gene::10256
230	Compound::DB00190
231	Compound::DB11098
232	Gene::20750
233	Anatomy::UBERON:0002030
234	Gene::128434
235	Gene::10320
236	Gene::7980
237	Gene::7294
238	Gene::3643
239	Compound::DB00853
240	Compound::DB08971
241	Compound::DB00983
